time,emg1,emg2,emg3
0.004476290999946286,9234,0,0
0.007467958000006547,8466,0,0
0.01047465600004216,3536,0,0
0.014458632000014404,9442,0,0
0.01745923499993296,9490,0,0
0.020446769000045606,8914,0,0
0.023454510999954437,5729,0,0
0.02741245600009279,6673,0,0
0.03044026399993527,9202,0,0
0.03347742899995865,13843,0,0
0.0374315920000754,10498,0,0
0.04044807800005401,8418,0,0
0.043351217000008546,12339,0,0
0.047372877000043445,10578,0,0
0.050387356000101136,8690,0,0
0.05339797200008434,6177,0,0
0.05736604999992778,10722,0,0
0.06037656099988453,8658,0,0
0.0633942179999849,17428,0,0
0.06736475999991853,12387,0,0
0.07035461600003146,11122,0,0
0.07339791999993395,10834,0,0
0.0773719799999526,17444,0,0
0.0803698950001035,10466,0,0
0.08340148100000988,15987,0,0
0.08733802799997648,23525,0,0
0.09041272500007835,8706,0,0
0.09344708799994805,17204,0,0
0.09760242399988783,22165,0,0
0.1007031179999558,14547,0,0
0.10379570600002808,9298,0,0
0.10763162700004614,17908,0,0
0.11070960899996862,8370,0,0
0.11356895800008715,7953,0,0
0.11767256500002077,9218,0,0
0.12067515099988668,9410,0,0
0.12371533500004261,12659,0,0
0.12756269500005146,10482,0,0
0.13070575999995526,9154,0,0
0.1337679579999076,13267,0,0
0.13758557799997106,9234,0,0
0.1405952420000176,15587,0,0
0.14367209700003514,19236,0,0
0.14746948199990584,15235,0,0
0.15057089199990514,7633,0,0
0.15380901000003178,14707,0,0
0.15767227199989975,9586,0,0
0.16079790599997068,11250,0,0
0.16388682599995263,10226,0,0
0.16774502799989932,13043,0,0
0.17085458799988373,9122,0,0
0.17378426899995247,9842,0,0
0.17687079100005576,9586,0,0
0.18064328900004512,14947,0,0
0.18369423600006485,6737,0,0
0.18676471499998115,8274,0,0
0.1905738030000066,9410,0,0
0.19365612699994017,7393,0,0
0.1966720959999293,7649,0,0
0.2005182909999803,8290,0,0
0.20363590800002385,18180,0,0
0.20669216700002835,16564,0,0
0.21049927700005355,11730,0,0
0.21353164299989658,12803,0,0
0.21657055700006822,12995,0,0
0.22048073799987833,11730,0,0
0.2234882979998929,17892,0,0
0.22664691799991488,14515,0,0
0.23071201499988092,12210,0,0
0.23373531399988678,9810,0,0
0.2366851479998786,13347,0,0
0.24072685300006924,9202,0,0
0.24343411399991055,7265,0,0
0.24665070900005048,10658,0,0
0.25068569699988075,7169,0,0
0.253606278999996,10994,0,0
0.2567210279999017,13891,0,0
0.26067240599991237,10130,0,0
0.26352071499991325,16035,0,0
0.26674003800007995,12307,0,0
