,1min,5min,10min
0,372.2733729704131,279.36153414759923,213.25937095606383
1,318.09954553250907,304.4441166100283,136.60699205968112
2,171.0590259233898,203.0354815672897,221.12203373496675
3,160.67382165205004,228.24449339715753,340.711420604016
4,157.41313170429424,286.4614082974027,411.36713856046117
