time,y1,y2,y3
0.006171109000206343,1306,128,289
0.008938227000726329,1414,204,177
0.01167222000003676,1382,216,181
0.014406713000425952,1163,413,173
0.017142206000244187,960,419,190
0.019873991000167734,880,679,231
0.02260619200023939,1003,486,225
0.025337392999972508,1210,0,103
0.028060803000698797,1395,208,141
0.03080004599996755,1429,398,206
0.03354666399991402,1264,731,261
0.03628107400072622,1156,772,298
0.039052316000379506,1187,706,297
0.04178668400072638,1348,506,231
0.044518886000332714,1573,51,121
0.04724767000061547,1650,429,192
0.04997828800060233,1535,410,220
0.05271003100006055,1195,1238,399
0.05543619099989883,959,803,347
0.05816464200051996,985,234,192
0.0608965100000205,1174,807,274
0.06362479500057816,1438,608,257
0.06635466300031112,1613,61,144
0.06908528100029798,1614,142,140
0.07181589900028484,1501,302,172
0.07455022500016639,1302,368,181
0.07727996799985704,1242,292,161
0.08000662799986458,1290,609,226
0.08326720300010493,1396,767,295
0.08596686300006695,1436,115,155
0.08866077299990138,1421,385,182
0.09134980700036976,1296,351,208
0.09403738400033035,1165,193,141
0.09672833500007982,1151,0,76
0.09941716200046358,1275,80,80
0.10210898800050927,1485,433,144
0.1048008560001108,1643,106,113
0.10748826600047323,1645,0,76
0.11017821699988417,1526,130,121
0.11286887700043735,1295,893,309
0.11555803700048273,1155,594,267
0.11824940499991499,1200,0,112
0.12094110700036254,1405,643,208
0.1236285160002808,1597,1220,379
0.1263178010003685,1680,86,176
0.12900846100001218,1735,286,189
0.13169770400054404,1611,179,160
0.13438903000042046,1428,259,128
0.13708181499987404,1350,200,106
0.1397731830002158,1310,589,206
0.1424624680003035,1387,239,160
0.14515079500051797,1546,0,81
0.14783882900064782,1647,15,80
0.1505307810002705,1615,235,144
0.15322006499991403,1451,1281,410
0.1559512250005355,1286,991,409
0.1586520520004342,1211,144,192
0.1613459200007128,1211,166,117
0.16403649600033532,1311,1001,291
0.16672869800004264,1367,0,112
0.16942223200021544,1381,14,95
0.17211368400057836,1321,358,178
0.17480771800001094,1123,135,115
0.17749896200075455,1057,751,265
0.18018799600031343,1143,546,235
0.18288444800055004,1355,752,320
0.1855744410004263,1425,0,126
0.18826568400072574,1317,0,68
0.1909562190003271,1151,272,155
0.19364900400069018,1050,705,247
0.19634153800052445,1185,563,254
0.19906232300036208,1366,627,281
0.20175456600009056,1506,48,123
0.20446435100075178,1629,336,154
0.20715096900039498,1701,0,84
0.20984458700058894,1712,131,126
0.21253433000038058,1498,407,205
0.2152402820001953,1219,0,77
0.21793165000053705,1056,245,121
0.22062510100022337,1162,576,194
0.22331509400009963,1383,989,319
0.22600504599995475,1498,0,134
0.22869653900033882,1589,391,179
0.23138857300000382,1535,173,160
0.23408290000043053,1357,557,189
0.23677472600047622,1264,166,138
0.23946821900062787,1292,481,189
0.2421605460003775,1493,341,165
0.24485149700012698,1682,386,169
0.24754003199996077,1710,0,89
0.2502318169999853,1625,150,129
0.2529219770003692,1365,714,288
0.25561117800043576,1227,0,108
0.2583078790003128,1280,176,114
0.26099878900004114,1424,273,124
0.2636928660003832,1666,2002,547
0.2663853170006405,1789,241,270
0.26907510199998796,1699,45,141
0.27176534499994887,1405,192,142
0.2744550050001635,1169,109,83
0.27714712299984967,1157,705,240
0.27983649100042385,1309,0,90
0.282527234000554,1472,286,144
0.28526005999992776,1616,317,174
0.28795446999993146,1699,50,114
0.29064758799995616,1685,268,167
0.2933393729999807,1517,1505,483
0.2960334489998786,1359,75,205
0.29872652599988214,1347,540,230
0.3014179360006892,1456,113,113
0.30410913700052333,1603,897,271
0.306800089000717,1740,0,112
0.3094906650003395,1833,128,144
0.3121801580000465,1687,271,165
0.31487223400017683,1436,240,142
0.31756389400015905,1271,266,135
0.32025359599992953,1331,1388,402
0.3229439220003769,1613,725,375
0.32563762400059204,1817,96,181
0.32832965800025704,1866,0,83
0.33105511000030674,1751,150,122
0.3337481440003103,1477,2641,693
0.3364403880004829,1200,641,429
0.3391310060005708,1055,861,363
0.34182416500061663,1102,389,234
0.3445138249999218,1306,0,109
0.3472035680006229,1453,293,160
0.3498929780007529,1447,0,98
0.3525856380001642,1319,337,172
0.35528296400025283,1166,205,150
0.35797408200050995,1139,0,67
0.36066707500049233,1232,662,212
0.36335873500047455,1495,1986,615
0.3660498950002875,1658,0,217
0.3687410960001216,1664,355,222
0.3714317560006748,1526,254,195
0.37412462400061486,1357,1574,431
0.37681457600046997,1245,130,195
0.3795044440003039,1340,592,240
0.3821944790006455,1562,526,219
0.3848873470005856,1739,561,233
0.38757617300052516,1747,12,111
0.3902687079998941,1643,640,246
0.39296007600023586,1488,1463,503
0.39564956899994286,1473,169,232
0.39833906200055935,1571,0,98
0.4010296800006472,1669,592,171
0.40372029800073506,1744,1475,450
0.40641108300042106,1803,10,184
0.4091053259999171,1813,153,157
0.4117957779999415,1663,523,238
0.4144889790004527,1505,48,112
0.4171809720000965,1510,326,165
0.41987059000075533,1584,624,229
0.4225616670000818,1669,266,162
0.42525386800025444,1683,0,80
0.42794594499991945,1765,417,173
0.4306369790001554,1776,257,176
0.433329598000455,1649,2002,603
0.436019091000162,1579,592,393
0.4387105000005249,1662,656,304
0.44140045200038003,1839,923,323
0.4440905280007428,1942,1426,464
0.44678039600057673,1904,0,176
0.4494725560007282,1872,1005,336
0.45216292400073144,1872,593,298
0.4548539590005021,1812,135,146
0.4575479940003788,1677,125,123
0.46023844499995903,1587,492,176
0.46293052200053353,1679,398,207
0.46562122300019837,1803,0,86
0.4683093000003282,1927,293,153
0.47104029300044203,1989,77,134
0.4737410360003196,1982,1361,425
0.47644127900002786,2031,527,304
0.47913289700045425,2138,378,210
0.4818255150003097,2311,752,272
0.4845609250005509,2448,613,271
0.48730354300005274,2545,51,144
0.49000191100003576,2463,1046,377
0.49269502900006046,2241,233,235
0.4953871470006561,2066,0,93
0.4980788900002153,1964,610,209
